Gene.Name	N_black	N_white	Method	Statistic.D	pvalue	Condition	padj
PARP11	41	292	Two-sample Kolmogorov-Smirnov test	0.105997327096559	0.8140	Colon	1
PARP12	41	292	Two-sample Kolmogorov-Smirnov test	0.148179084530571	0.4088	Colon	1
PARP14	41	292	Two-sample Kolmogorov-Smirnov test	0.226194453725359	0.0505	Colon	0.7930526678141137
PARP15	41	292	Two-sample Kolmogorov-Smirnov test	0.259104577347143	0.0160	Colon	0.5781587301587301
PARP16	41	292	Two-sample Kolmogorov-Smirnov test	0.13205813564985	0.5575	Colon	1
PARPBP	41	292	Two-sample Kolmogorov-Smirnov test	0.0976445038422988	0.8829	Colon	1
PARS2	41	292	Two-sample Kolmogorov-Smirnov test	0.19537253591714	0.1285	Colon	0.9613547540983606
PARVA	41	292	Two-sample Kolmogorov-Smirnov test	0.0691613765452723	0.9954	Colon	1
PARVB	41	292	Two-sample Kolmogorov-Smirnov test	0.150350818576679	0.3907	Colon	1
PARVG	41	292	Two-sample Kolmogorov-Smirnov test	0.323337788172402	0.0011	Colon	0.1837908256880734
PASK	41	292	Two-sample Kolmogorov-Smirnov test	0.15552956899432	0.3494	Colon	1
PATL1	41	292	Two-sample Kolmogorov-Smirnov test	0.117858336117608	0.7001	Colon	1
PATL2	41	292	Two-sample Kolmogorov-Smirnov test	0.104577347143334	0.8266	Colon	1
PATZ1	41	292	Two-sample Kolmogorov-Smirnov test	0.13013698630137	0.5765	Colon	1
PAWR	41	292	Two-sample Kolmogorov-Smirnov test	0.118610090210491	0.6925	Colon	1
PAX1	41	292	Two-sample Kolmogorov-Smirnov test	0.0715001670564652	0.9929	Colon	1
PAX2	41	292	Two-sample Kolmogorov-Smirnov test	0.077347143334447	0.9826	Colon	1
PAX3	41	292	Two-sample Kolmogorov-Smirnov test	0.101319746074173	0.8542	Colon	1
PAX5	41	292	Two-sample Kolmogorov-Smirnov test	0.219679251587036	0.0622	Colon	0.8391010370370371
PAX6	41	292	Two-sample Kolmogorov-Smirnov test	0.12788172402272	0.5990	Colon	1
PAX7	41	292	Two-sample Kolmogorov-Smirnov test	0.150100233879051	0.3927	Colon	1
PAX8	41	292	Two-sample Kolmogorov-Smirnov test	0.150851987971935	0.3865	Colon	1
PAX9	41	292	Two-sample Kolmogorov-Smirnov test	0.173404610758436	0.2298	Colon	1
PAXBP1	41	292	Two-sample Kolmogorov-Smirnov test	0.10507851653859	0.8222	Colon	1
PAXIP1	41	292	Two-sample Kolmogorov-Smirnov test	0.11309722686268	0.7473	Colon	1
PAXIP1-AS2	41	292	Two-sample Kolmogorov-Smirnov test	0.159873037086535	0.3171	Colon	1
PBDC1	41	292	Two-sample Kolmogorov-Smirnov test	0.168727029736051	0.2577	Colon	1
PBK	41	292	Two-sample Kolmogorov-Smirnov test	0.145589709321751	0.4311	Colon	1
PBLD	41	292	Two-sample Kolmogorov-Smirnov test	0.278316070831941	0.0076	Colon	0.452324183006536
PBRM1	41	292	Two-sample Kolmogorov-Smirnov test	0.171065820247244	0.2435	Colon	1
