Name	Mean(log(AA))	Mean(log(EA))	logFC	M-W U test pval	Adj pval
OSBPL6	4.40457852285279	4.553455211196768	-0.14887668834397783	0.09683445475123587	0.14701142797011568
C6orf106	9.976211080961766	10.125101906984343	-0.1488908260225763	1.8085311026538875E-11	2.71086160012614E-10
ZNF41	6.413878025089064	6.562801218091887	-0.14892319300282342	2.1014823035070407E-6	1.0005802800384372E-5
ZNRF2	7.98103364559035	8.129995997760702	-0.1489623521703516	1.86131783933563E-5	7.174247722747194E-5
B3GNT6	1.278365388602437	1.427349196023305	-0.1489838074208678	0.05438154354550084	0.08909649793546792
ARL10	5.147599993942286	5.296596006435869	-0.14899601249358252	0.026160791870682765	0.046995496305866497
ESR1	6.152860481518181	6.301958609361052	-0.1490981278428709	0.10225088032416296	0.15409127285590865
GGA2	10.066794125538994	10.215951988815137	-0.14915786327614278	3.422180654411022E-7	1.949476198878121E-6
ANKRD40	8.737488632819959	8.886678248862156	-0.1491896160421966	9.69608837664282E-10	9.675899261118851E-9
GHRH	0.6906298968586394	0.8399360646784029	-0.14930616781976347	0.3998518294087907	0.48739050379445126
LCLAT1	7.1868851609592985	7.3362765407822055	-0.14939137982290696	1.9066367182851707E-6	9.154671213659248E-6
MGAT4A	8.460403669561996	8.609801058486042	-0.14939738892404542	0.002775476677392863	0.006453718192461551
TLCD2	4.695478662748829	4.84494299254097	-0.1494643297921412	0.001128810343902109	0.0029007893302025133
EFNA5	6.2315989885644925	6.381097222263336	-0.14949823369884374	0.14743688242269903	0.2113269717206198
FOXS1	5.811005701762855	5.9605230116401655	-0.14951730987731082	0.028754179308470906	0.05097548073258758
CTF1	6.648935820211618	6.798546609172698	-0.1496107889610796	0.026225822208343796	0.04708909337063563
JKAMP	9.57486552390953	9.724494886291849	-0.14962936238231883	3.507691892501441E-8	2.4798945941861896E-7
LGALS3	12.421120925371444	12.570774493693014	-0.14965356832157006	0.03717435845497463	0.06386373136326744
