Name	AveExpr	t	logFC	P.Value	Adj pval	B
IRAK1BP1	3.89706471115668	-4.4700659401391185	-0.20844883129295821	8.925785139076517e-6	3.414333101299339e-5	2.9408655638528582
ZNF234	4.552258267176697	-5.693967643432377	-0.20848741037305363	1.7319864841549092e-8	1.2020936680422715e-7	8.902807418844262
PURB	5.785678150865427	-6.765683464976721	-0.20851663365225548	2.5321849082730576e-11	3.3686012819188407e-10	15.204811957534101
TMEM163	3.4448638904268907	-2.5808429542335958	-0.20856683346622207	0.01002959034620239	0.019464929601986137	-3.543703539717123
ABCD2	1.7326097883098386	-2.4552451662741364	-0.20859140399820042	0.01428660192691407	0.02673251765056602	-3.8542543249459724
IRAK4	5.541793688909805	-6.256106280037107	-0.20862678556392034	6.367786178181689e-10	6.005672396096743e-9	12.085613958823672
ST8SIA2	1.995072071017406	-2.096627758051158	-0.2086385661768233	0.03633405785960185	0.06089222984623805	-4.656827668917587
RBBP5	5.783697211156653	-6.603448186411598	-0.20869642586115233	7.237276861868986e-11	8.449056808228074e-10	14.187940401432265
AGO1	5.091570525971829	-6.193029218054753	-0.20870174017610665	9.34909988889168e-10	8.500539549500513e-9	11.714868523356106
ARPP19	7.2378258107184426	-5.95447916328338	-0.20871419467173258	3.875048954928054e-9	3.072372292866771e-8	10.34373165981124
FAM217B	4.952277048185235	-5.074574497835413	-0.2087383792975288	4.812367451007098e-7	2.439266240404711e-6	5.717223756368332
SRBD1	5.3994306614885	-7.162868002663398	-0.20876814218162565	1.7669279276689888e-12	3.1394430652397684e-11	17.786797442086854
PTPRQ	1.0216944482856425	-1.9723266912163453	-0.20880206921223898	0.04890981536267217	0.07917034551461964	-4.905824386874238
ZNF724P	3.207816528078159	-3.2266795628811655	-0.20880633065653287	0.0013023255315715641	0.003120783234339648	-1.7071585127828088
ZC3H14	6.68630180763597	-7.632135870093013	-0.208869145622276	6.45042074780541e-14	1.7000732656878744e-12	21.00364205072709
DST	7.088361211561662	-3.6449579624452975	-0.20888108195298294	2.843786362322672e-4	7.875766002223312e-4	-0.30547734192214016
LAMTOR3	7.038879908262055	-7.474079510915262	-0.2089161095772729	2.0061143934599678e-13	4.684019914576017e-12	19.900298644046224
SLC26A3	1.8046498157212627	-1.4195171439749517	-0.2089184455382891	0.1561304622400085	0.2170074012298737	-5.830279385777586
SEMA3F	6.9181701045772055	-3.8215850838516814	-0.2089680225938677	1.4268082839590868e-4	4.2156120161360947e-4	0.3360147651397627
ATP10A	4.384312856384254	-3.065815240650547	-0.2089793387389065	0.002242363902789354	0.005085036906686553	-2.2019708061061634
PABPC3	2.239453114289872	-3.557660798930965	-0.2090851173697823	3.9577241420064353e-4	0.0010667170648841378	-0.6116824073628555
KPNA1	6.731896387748881	-6.159833294064997	-0.20909029361584164	1.1427631280635772e-9	1.0167074786660416e-8	11.521125921430698
ZNF766	5.781970511168079	-6.826275649263593	-0.20909093459316797	1.7011109073792054e-11	2.331123539893912e-10	15.590247817402872
RASL11A	4.941586008983864	-2.7099660472178506	-0.20911013261995492	0.00687030015894701	0.01386085150047003	-3.208559287245839
KDM4B	6.576291224159573	-3.091174615159005	-0.20915344157295301	0.0020614598802390013	0.004725400546118652	-2.1256084949533776
ZBTB44	5.910810515420839	-5.3978514696118864	-0.2092104997678259	8.848369513761593e-8	5.285104196565296e-7	7.337322293069425
ZNF224	5.392847119350775	-4.673097971630929	-0.20921720646971753	3.46995843456846e-6	1.4618293548545173e-5	3.8362299234274797
DCUN1D1	6.0964888214750514	-5.572397174838825	-0.2092242062641141	3.4145179123358834e-8	2.219314782992902e-7	8.25073089262359
SLC8A3	1.022558857513533	-3.5174271025610233	-0.20926845387406356	4.5983868640216206e-4	0.0012216750046325565	-0.7503876473780862
KIAA1658	1.1416720726620342	-1.575640163071923	-0.2094210028488741	0.11549662097316213	0.16748343507948313	-5.599531009713597
