Name	Mean(log(breast_black))	Mean(log(breast_white))	logFC	M-W U test pval	Adj pval
MROH2A	0.7050304400964252	1.6929886127642089	-0.9879581726677836	0.05329333276480519	0.9968005456748952
KRT16	6.940469781296714	7.927574955383006	-0.9871051740862926	0.2787173873843555	0.9968005456748952
CPLX1	5.594160304510473	6.5755826469757555	-0.9814223424652821	0.05640180118754534	0.9968005456748952
GP2	4.433715551915936	5.414973880832502	-0.9812583289165655	0.3308402643240863	0.9968005456748952
GABRB1	0.4525611280170489	1.4332693719883551	-0.9807082439713062	0.04889984922191004	0.9968005456748952
CA2	8.115841109477596	9.094000353628624	-0.9781592441510281	0.05329333276480519	0.9968005456748952
GFAP	5.229919595234777	6.207588991127907	-0.9776693958931304	0.050329282157085986	0.9968005456748952
FOSB	10.564167518105158	11.541600018086386	-0.9774324999812283	0.1463682992147698	0.9968005456748952
PAGE2	0.10475088485050199	1.0811694984352644	-0.9764186135847625	0.12389131916687712	0.9968005456748952
ASTN1	3.490856990709228	4.465227361275244	-0.974370370566016	0.014550968251942242	0.9968005456748952
HIST1H2BO	0.44925325341224837	1.4224987219365341	-0.9732454685242857	0.10955657678268604	0.9968005456748952
GATSL1	1.8860158628817045	2.8592605986795436	-0.9732447357978391	0.21606128757769327	0.9968005456748952
TMEM244	0.0	0.973078763655764	-0.973078763655764	0.12091299894640051	0.9968005456748952
HIST1H1C	8.800826660443152	9.769734006097664	-0.9689073456545128	0.07529354495594376	0.9968005456748952
HIST1H2BD	7.5324937543213535	8.499734773620828	-0.9672410192994745	0.030752882924684366	0.9968005456748952
SEL1L2	3.179943169434331	4.146415282170399	-0.966472112736068	0.42365593666732393	0.9968005456748952
KLK14	3.5564493188668873	4.519410633687163	-0.9629613148202756	0.07630869792358597	0.9968005456748952
LGALS7	3.8577222230699952	4.816017161813779	-0.9582949387437836	0.19407600870256303	0.9968005456748952
SRMS	2.0492172228614263	3.0070927159725724	-0.9578754931111462	0.038070802425254624	0.9968005456748952
AZU1	2.3065253501424685	3.2637726140081966	-0.9572472638657281	0.10955657678268604	0.9968005456748952
RP11-529K1.3	3.5917014981586117	4.5473351965008355	-0.9556336983422238	0.5712436521985094	0.9968005456748952
NEURL	2.617821260140947	3.57161369243006	-0.9537924322891129	0.20706115487008625	0.9968005456748952
INSM1	0.4697678836843114	1.4225369663523424	-0.9527690826680311	0.117990997556088	0.9968005456748952
OVCH1-AS1	1.9648589549923081	2.917427339234078	-0.95256838424177	0.08048148827849955	0.9968005456748952
UGT2B7	2.624957312038252	3.5768475108379856	-0.9518901987997337	0.153331785907463	0.9968005456748952
GLYAT	6.966671284304163	7.917865946492499	-0.9511946621883363	0.5023169668785112	0.9968005456748952
DARC	10.754997306896813	11.70173128703353	-0.9467339801367167	0.36561243995898673	0.9968005456748952
RP11-343C2.12	6.663330879854613	7.6026677387072485	-0.9393368588526352	0.6268172970206347	0.9968005456748952
TRPM8	1.134753245539514	2.0702415841057378	-0.9354883385662238	0.05640180118754534	0.9968005456748952
PACSIN1	1.974497078323476	2.909045288734497	-0.934548210411021	0.01811023263144307	0.9968005456748952
HBA2	11.005836287377823	11.940000002091336	-0.9341637147135131	0.20485425250567324	0.9968005456748952
CLDN9	1.4966619289547791	2.4301514993902664	-0.9334895704354873	0.03477067274154533	0.9968005456748952
