Name	Mean(log(Black))	Mean(log(White))	logFC	M-W U test pval	Adj pval
PIKFYVE	6.620852746646478	7.021083351943234	-0.40023060529675547	2.7622903964186207E-11	4.1887454371004094E-10
TCEAL1	9.383873163717707	9.784139378888511	-0.4002662151708041	1.8263849448696412E-5	6.629882921260894E-5
PIK3R3	9.284577371583154	9.685000129727506	-0.4004227581443516	1.5221890325989307E-6	7.168892335581E-6
PTPN5	1.6371199926546574	2.0376618584102117	-0.4005418657555544	1.1861335053375832E-5	4.521109962161588E-5
TMEM86A	7.157959085322269	7.558531167778782	-0.4005720824565131	8.459651137382451E-7	4.231451977863477E-6
SSTR1	1.3576390589668632	1.7583562648303126	-0.4007172058634494	3.6339641858673666E-5	1.2322054692425337E-4
KAT2B	6.451970713347708	6.852787641791217	-0.4008169284435086	8.700129729977135E-7	4.3410071956806464E-6
PDE4A	6.9281053672572455	7.328961716522541	-0.4008563492652959	3.996857625654382E-5	1.3412708877541478E-4
VGLL3	5.048270869435448	5.449148488677639	-0.40087761924219123	0.002577428399575199	0.00577298315251058
FICD	6.335566049218208	6.736529641325505	-0.4009635921072965	2.0284107726808998E-11	3.187352630894266E-10
SYNJ2BP	7.822532497020712	8.223620762834154	-0.40108826581344115	5.791300772273189E-11	8.061807055683356E-10
CKMT2	4.290748723497764	4.692180448843321	-0.4014317253455575	2.984904280810552E-4	8.32609538399782E-4
ZKSCAN1	8.938169267187908	9.339806771130773	-0.40163750394286524	1.7201637225738864E-8	1.2781567407391114E-7
EBF2	4.067813305485901	4.46948693713162	-0.40167363164571945	2.3478751223471317E-4	6.709477754305031E-4
TWF1	10.180421997481059	10.5821808718341	-0.4017588743530407	5.14366327308835E-13	1.3478618061796408E-11
SERPINI1	7.560846026742017	7.962626839511021	-0.4017808127690037	0.013758795437084026	0.025893890926958176
TRMT1L	7.783520082186129	8.185489682977533	-0.40196960079140354	6.065814517342005E-12	1.1226688413600873E-10
METTL14	7.83746428755704	8.239466466815783	-0.4020021792587425	6.661338147750939E-16	4.814138505826988E-14
CSRNP3	2.811102201734349	3.2133198645411216	-0.4022176628067724	4.932563979859195E-4	0.0013100751815837196
LHFP	8.611830646030807	9.01405075759209	-0.4022201115612827	7.271586506596428E-5	2.3148074367791322E-4
RP11-343C2.11	2.878874278712981	3.2811176759768377	-0.40224339726385683	0.06145614757841833	0.09699621801699927
KIAA1715	7.777467225518948	8.17973344020539	-0.4022662146864411	9.884981722052544E-12	1.706400825801146E-10
ATF1	8.923873978882424	9.32617153594591	-0.4022975570634859	0.0	0.0
TCEAL2	3.1540785670487574	3.556378735920618	-0.4023001688718604	0.04756217778381622	0.07744321696905328
PCDHGA2	4.198402165274006	4.600778236875059	-0.4023760716010534	0.003340044016893917	0.007298881885729784
LIMS3L	3.6575840955895784	4.059963944196677	-0.40237984860709863	7.87987742361107E-5	2.4914640215070277E-4
TBCEL	7.018874885992139	7.421262602087954	-0.4023877160958156	2.3160140472100466E-11	3.592780905263149E-10
TMEM123	11.333661971906686	11.736127599054399	-0.4024656271477127	4.4133833809745227E-7	2.3481314091238095E-6
CNST	7.843025530926246	8.245623926830552	-0.402598395904306	4.0426550995675825E-12	7.824105703860235E-11
ZNF141	6.6056377911857265	7.008293619475815	-0.4026558282900883	1.1226083285187372E-8	8.740890499779068E-8
AMBP	3.468385762419312	3.87107042120799	-0.40268465878867765	0.024213824416341456	0.04257817613888294
LRRTM2	1.701192896067393	2.1040699188167156	-0.4028770227493226	2.0646408264157756E-6	9.402660347757965E-6
FAM196B	1.8873042375121738	2.290209230823581	-0.4029049933114073	0.0209025959830621	0.03742411305972542
FOSB	7.033158914800965	7.436097119217716	-0.4029382044167509	0.0551616664298592	0.08833238978462989
FHL1	8.272605663440906	8.675668708908162	-0.40306304546725613	0.007621722143817067	0.015295515557377015
STXBP1	7.4458490034446765	7.848930391372947	-0.4030813879282702	7.958196923119054E-6	3.147332950354923E-5
SPTLC2	8.83809904742767	9.24124588452418	-0.403146837096509	5.837041960887746E-11	8.090122389017323E-10
BRINP2	3.1953297343131695	3.5984968403575075	-0.40316710604433803	0.03733020230126716	0.0624410033349263
SH3RF1	8.001761915511342	8.40501526142354	-0.40325334591219786	3.6453152040261116E-6	1.5657660494274423E-5
ENDOU	2.1515993508110474	2.5549256868597916	-0.40332633604874424	1.3986026942580665E-5	5.231331334530275E-5
MAGEL2	2.341869832658805	2.7452884044470314	-0.4034185717882264	0.012518183831639829	0.023780240319372543
STOM	11.26640810035887	11.669896160037501	-0.4034880596786312	6.726004859736179E-7	3.4292833288218164E-6
ZNF28	8.047184540459815	8.45069854633003	-0.403514005870214	4.5109471713544735E-11	6.509775743637692E-10
SIRPB1	4.799177308104158	5.202805132908912	-0.40362782480475357	0.0031994594008816213	0.0070160812292421534
MT1A	5.521642881460495	5.925603974795013	-0.4039610933345186	0.03943594660720806	0.0655777446685969
KLB	2.368183034526199	2.7722035532158547	-0.4040205186896557	0.00445122271631615	0.009444910650069874
KRT222	2.1823772151329086	2.586402957372275	-0.40402574223936627	0.004790809896831005	0.010084400120328973
DHX40	9.183098869685866	9.587285074214426	-0.40418620452856047	2.435630475083883E-9	2.2101495870566854E-8
G2E3	7.281056986841435	7.685311691735336	-0.40425470489390136	4.856348656545606E-11	6.931333991615093E-10
CXorf31	2.8015733346188676	3.2058282833452796	-0.404254948726412	0.0017664613888848102	0.004107609143816414
ELP2	10.87676049188278	11.281053363676154	-0.40429287179337337	2.533708947094482E-7	1.4237552404962883E-6
CRYL1	8.517393978149121	8.921735555974664	-0.4043415778255426	9.441863180192911E-9	7.50240891089325E-8
F2RL1	6.29218353113305	6.696525443353255	-0.40434191222020477	4.305251267016086E-4	0.0011567901456904243
NAA30	7.483944517926022	7.888324116052864	-0.4043795981268419	1.2989609388114332E-14	5.973908236776217E-13
LRRN1	6.437757632976576	6.842344942570269	-0.40458730959369227	0.07550980040539523	0.11614733825870423
C16orf72	8.109860939802507	8.514465140803154	-0.4046042010006463	0.0	0.0
PRRC1	9.625352883445101	10.030252660496323	-0.40489977705122193	1.1102230246251565E-16	1.0422361713646057E-14
ARFGEF2	8.471408535221354	8.876349680914705	-0.4049411456933516	2.2826396328667897E-10	2.641132972920583E-9
PCDP1	3.313533891277487	3.7185105499161426	-0.4049766586386556	0.00893021672273231	0.01759570561012667
CCDC39	3.344372789541051	3.7494467990535254	-0.4050740095124743	4.641309170594354E-5	1.536305391037157E-4
GRIA4	2.1320716208702803	2.537147809873007	-0.40507618900272657	0.024461519623051542	0.04295566438868139
ZDBF2	3.7271692572705826	4.132266807107079	-0.4050975498364968	0.0013068170506940202	0.003134020559288846
IL17RD	6.156679941638558	6.561865701441904	-0.4051857598033459	0.0012864585191960654	0.003089264576951311
S1PR1	7.621063470168663	8.026438443934074	-0.40537497376541154	7.259145383038401E-4	0.001849518126971116
RAB5B	10.359577466972262	10.765044235516257	-0.4054667685439952	3.4505731605349865E-13	9.535939059129465E-12
HSPA13	8.330706511454398	8.736335402248061	-0.40562889079366293	9.640453213499711E-9	7.630244846773435E-8
SRFBP1	6.956759714879369	7.3625848096296895	-0.4058250947503206	4.0967229608668276E-14	1.5816429678763509E-12
TSHZ3	6.063027929007324	6.468860079435279	-0.40583215042795473	9.929259931928947E-6	3.846664154015953E-5
ZNF354C	4.955248003136615	5.361119269613983	-0.4058712664773685	2.7616662347629273E-5	9.607538771251658E-5
EFHC1	7.504086126627156	7.909969548784113	-0.4058834221569567	6.854597189853706E-8	4.380207860407568E-7
FITM2	6.912671980043798	7.318604426024645	-0.4059324459808469	2.865117054717814E-8	2.0092226338282954E-7
KCNMA1	7.394290640559354	7.800458638442144	-0.40616799788279057	1.7780651863974484E-4	5.23813056853289E-4
CSNK1A1	11.320986006028892	11.727166112686328	-0.40618010665743576	6.072919944699606E-14	2.2031876102165185E-12
