Gene.Name	N	Method	Statistic.D	pvalue	Race	Condition	padj
UBE2K	292	Hartigans' dip test for unimodality / multimodality	0.0182646574543305	0.7695	black or african american	GTEX	1
UBE2L3	292	Hartigans' dip test for unimodality / multimodality	0.0190966164884785	0.6981	black or african american	GTEX	1
UBE2L6	292	Hartigans' dip test for unimodality / multimodality	0.0205190465436515	0.5686	black or african american	GTEX	1
UBE2M	292	Hartigans' dip test for unimodality / multimodality	0.0130869242820833	0.9915	black or african american	GTEX	1
UBE2N	292	Hartigans' dip test for unimodality / multimodality	0.0158717902140611	0.9285	black or african american	GTEX	1
UBE2O	292	Hartigans' dip test for unimodality / multimodality	0.0155411342612983	0.9442	black or african american	GTEX	1
UBE2Q1	292	Hartigans' dip test for unimodality / multimodality	0.0133575552471724	0.9909	black or african american	GTEX	1
UBE2Q2	292	Hartigans' dip test for unimodality / multimodality	0.014649738877905	0.9720	black or african american	GTEX	1
UBE2QL1	292	Hartigans' dip test for unimodality / multimodality	0.0139807752282265	0.9862	black or african american	GTEX	1
UBE2R2	292	Hartigans' dip test for unimodality / multimodality	0.0197573704362227	0.6377	black or african american	GTEX	1
UBE2S	292	Hartigans' dip test for unimodality / multimodality	0.0154112095703677	0.9502	black or african american	GTEX	1
UBE2T	292	Hartigans' dip test for unimodality / multimodality	0.0147282533976646	0.9697	black or african american	GTEX	1
UBE2U	292	Hartigans' dip test for unimodality / multimodality	0.0239168492389727	0.2972	black or african american	GTEX	1
UBE2V1	292	Hartigans' dip test for unimodality / multimodality	0.0161308975801442	0.9161	black or african american	GTEX	1
UBE2V2	292	Hartigans' dip test for unimodality / multimodality	0.0171239406456902	0.8545	black or african american	GTEX	1
UBE2W	292	Hartigans' dip test for unimodality / multimodality	0.0214600610492574	0.4852	black or african american	GTEX	1
UBE2Z	292	Hartigans' dip test for unimodality / multimodality	0.014365513844767	0.9800	black or african american	GTEX	1
UBE3A	292	Hartigans' dip test for unimodality / multimodality	0.0142745367880369	0.9815	black or african american	GTEX	1
UBE3B	292	Hartigans' dip test for unimodality / multimodality	0.0169089355573728	0.8695	black or african american	GTEX	1
UBE3C	292	Hartigans' dip test for unimodality / multimodality	0.0183609141875527	0.7613	black or african american	GTEX	1
UBE3D	292	Hartigans' dip test for unimodality / multimodality	0.019109958933841	0.6969	black or african american	GTEX	1
UBE4A	292	Hartigans' dip test for unimodality / multimodality	0.0179131721103209	0.7997	black or african american	GTEX	1
UBE4B	292	Hartigans' dip test for unimodality / multimodality	0.0167778161356195	0.8786	black or african american	GTEX	1
UBFD1	292	Hartigans' dip test for unimodality / multimodality	0.0233826205821309	0.3350	black or african american	GTEX	1
UBIAD1	292	Hartigans' dip test for unimodality / multimodality	0.0136918983747763	0.9901	black or african american	GTEX	1
