Gene.Name	N	Method	Statistic.D	pvalue	Race	Condition	padj
TAC1	97	Hartigans' dip test for unimodality / multimodality	0.0849502388072073	0.0000	white	Liver	0
TAC3	97	Hartigans' dip test for unimodality / multimodality	0.0790592589173977	1e-04	white	Liver	0.0024778231292517006
TAC4	97	Hartigans' dip test for unimodality / multimodality	0.08121278512511	0.0000	white	Liver	0
TACC1	97	Hartigans' dip test for unimodality / multimodality	0.032720303713034	0.6727	white	Liver	1
TACC2	97	Hartigans' dip test for unimodality / multimodality	0.0248377086612835	0.9696	white	Liver	1
TACC3	97	Hartigans' dip test for unimodality / multimodality	0.0232280848482581	0.9892	white	Liver	1
TACO1	97	Hartigans' dip test for unimodality / multimodality	0.0219518326458946	0.9918	white	Liver	1
TACR1	97	Hartigans' dip test for unimodality / multimodality	0.0777701455219555	1e-04	white	Liver	0.0024778231292517006
TACR2	97	Hartigans' dip test for unimodality / multimodality	0.0439192857005198	0.1865	white	Liver	1
TACSTD2	97	Hartigans' dip test for unimodality / multimodality	0.0251747149605007	0.9640	white	Liver	1
TADA1	97	Hartigans' dip test for unimodality / multimodality	0.0224347399294309	0.9911	white	Liver	1
TADA2A	97	Hartigans' dip test for unimodality / multimodality	0.0346304664322227	0.5702	white	Liver	1
TADA2B	97	Hartigans' dip test for unimodality / multimodality	0.0373762206000482	0.4303	white	Liver	1
TADA3	97	Hartigans' dip test for unimodality / multimodality	0.0238434778451516	0.9835	white	Liver	1
TAF1	97	Hartigans' dip test for unimodality / multimodality	0.0366304050759241	0.4668	white	Liver	1
TAF1A	97	Hartigans' dip test for unimodality / multimodality	0.0356128020021381	0.5180	white	Liver	1
TAF1B	97	Hartigans' dip test for unimodality / multimodality	0.0258610863038275	0.9525	white	Liver	1
TAF1C	97	Hartigans' dip test for unimodality / multimodality	0.0265099468910968	0.9358	white	Liver	1
TAF1D	97	Hartigans' dip test for unimodality / multimodality	0.0221651683833714	0.9915	white	Liver	1
TAF2	97	Hartigans' dip test for unimodality / multimodality	0.025791614061879	0.9536	white	Liver	1
TAF3	97	Hartigans' dip test for unimodality / multimodality	0.0215494764900614	0.9925	white	Liver	1
TAF4	97	Hartigans' dip test for unimodality / multimodality	0.0257767885685946	0.9539	white	Liver	1
TAF4B	97	Hartigans' dip test for unimodality / multimodality	0.0285906988699622	0.8667	white	Liver	1
TAF5	97	Hartigans' dip test for unimodality / multimodality	0.0247887327953382	0.9705	white	Liver	1
TAF5L	97	Hartigans' dip test for unimodality / multimodality	0.0287223257608167	0.8613	white	Liver	1
TAF6	97	Hartigans' dip test for unimodality / multimodality	0.030929393105308	0.7645	white	Liver	1
TAF6L	97	Hartigans' dip test for unimodality / multimodality	0.0271818371321271	0.9168	white	Liver	1
TAF7	97	Hartigans' dip test for unimodality / multimodality	0.0218311640291341	0.9920	white	Liver	1
TAF7L	97	Hartigans' dip test for unimodality / multimodality	0.028216736855311	0.8820	white	Liver	1
TAF8	97	Hartigans' dip test for unimodality / multimodality	0.0234229718771101	0.9874	white	Liver	1
TAF9	97	Hartigans' dip test for unimodality / multimodality	0.0249113188413087	0.9684	white	Liver	1
TAF9B	97	Hartigans' dip test for unimodality / multimodality	0.0321210672530366	0.7047	white	Liver	1
TAF10	97	Hartigans' dip test for unimodality / multimodality	0.0276721726364858	0.9029	white	Liver	1
TAF11	97	Hartigans' dip test for unimodality / multimodality	0.0253767523509111	0.9606	white	Liver	1
TAF12	97	Hartigans' dip test for unimodality / multimodality	0.0337979035363137	0.6147	white	Liver	1
TAF13	97	Hartigans' dip test for unimodality / multimodality	0.0234342177948027	0.9873	white	Liver	1
TAF15	97	Hartigans' dip test for unimodality / multimodality	0.0309291239798164	0.7645	white	Liver	1
TAGAP	97	Hartigans' dip test for unimodality / multimodality	0.0256897478140483	0.9553	white	Liver	1
TAGLN	97	Hartigans' dip test for unimodality / multimodality	0.0282146487827706	0.8820	white	Liver	1
TAGLN2	97	Hartigans' dip test for unimodality / multimodality	0.0225176802651418	0.9910	white	Liver	1
TAGLN3	97	Hartigans' dip test for unimodality / multimodality	0.0545803180020382	0.0326	white	Liver	0.3557286998202516
TAL1	97	Hartigans' dip test for unimodality / multimodality	0.0266922110521553	0.9306	white	Liver	1
TAL2	97	Hartigans' dip test for unimodality / multimodality	0.0949084946007555	0.0000	white	Liver	0
TALDO1	97	Hartigans' dip test for unimodality / multimodality	0.0379311551512748	0.4032	white	Liver	1
TAMM41	97	Hartigans' dip test for unimodality / multimodality	0.0237612812630761	0.9843	white	Liver	1
TANC1	97	Hartigans' dip test for unimodality / multimodality	0.0206187284063047	0.9939	white	Liver	1
TANC2	97	Hartigans' dip test for unimodality / multimodality	0.0316167416807213	0.7300	white	Liver	1
TANGO2	97	Hartigans' dip test for unimodality / multimodality	0.0257618412854608	0.9541	white	Liver	1
TANGO6	97	Hartigans' dip test for unimodality / multimodality	0.0338768439594396	0.6104	white	Liver	1
TANK	97	Hartigans' dip test for unimodality / multimodality	0.020919761195363	0.9934	white	Liver	1
TAOK1	97	Hartigans' dip test for unimodality / multimodality	0.0240953791576046	0.9812	white	Liver	1
TAOK2	97	Hartigans' dip test for unimodality / multimodality	0.0334132349763552	0.6354	white	Liver	1
TAOK3	97	Hartigans' dip test for unimodality / multimodality	0.0187593552291034	0.9968	white	Liver	1
TAP1	97	Hartigans' dip test for unimodality / multimodality	0.0305456210503538	0.7837	white	Liver	1
TAP2	97	Hartigans' dip test for unimodality / multimodality	0.0361607970905402	0.4897	white	Liver	1
TAPBP	97	Hartigans' dip test for unimodality / multimodality	0.0284209194320952	0.8736	white	Liver	1
TAPBPL	97	Hartigans' dip test for unimodality / multimodality	0.0356186005301001	0.5176	white	Liver	1
TAPT1	97	Hartigans' dip test for unimodality / multimodality	0.0255865766308745	0.9571	white	Liver	1
TARBP1	97	Hartigans' dip test for unimodality / multimodality	0.0189015856172701	0.9966	white	Liver	1
