Gene.Name	N	Method	Statistic.D	pvalue	Race	Condition	padj
NDRG1	89	Hartigans' dip test for unimodality / multimodality	0.041315537930748	0.3259	white	Prostate	1
NDRG2	89	Hartigans' dip test for unimodality / multimodality	0.0305189694878358	0.8354	white	Prostate	1
NDRG3	89	Hartigans' dip test for unimodality / multimodality	0.0360069009423864	0.5700	white	Prostate	1
NDRG4	89	Hartigans' dip test for unimodality / multimodality	0.0314146706814151	0.8002	white	Prostate	1
NDST1	89	Hartigans' dip test for unimodality / multimodality	0.0262151891150526	0.9632	white	Prostate	1
NDST2	89	Hartigans' dip test for unimodality / multimodality	0.0333126478363425	0.7086	white	Prostate	1
NDST3	89	Hartigans' dip test for unimodality / multimodality	0.0286003390609093	0.9074	white	Prostate	1
NDST4	89	Hartigans' dip test for unimodality / multimodality	0.0339111747623341	0.6782	white	Prostate	1
NDUFA1	89	Hartigans' dip test for unimodality / multimodality	0.0232042754843827	0.9913	white	Prostate	1
NDUFA2	89	Hartigans' dip test for unimodality / multimodality	0.0388262801898799	0.4317	white	Prostate	1
NDUFA3	89	Hartigans' dip test for unimodality / multimodality	0.0262177379066031	0.9632	white	Prostate	1
NDUFA4	89	Hartigans' dip test for unimodality / multimodality	0.0233775740489146	0.9910	white	Prostate	1
NDUFA4L2	89	Hartigans' dip test for unimodality / multimodality	0.0393766496043226	0.4058	white	Prostate	1
NDUFA5	89	Hartigans' dip test for unimodality / multimodality	0.0381410822755773	0.4640	white	Prostate	1
NDUFA6	89	Hartigans' dip test for unimodality / multimodality	0.0254950295453024	0.9749	white	Prostate	1
NDUFA7	89	Hartigans' dip test for unimodality / multimodality	0.0365172109930866	0.5439	white	Prostate	1
NDUFA8	89	Hartigans' dip test for unimodality / multimodality	0.0306423702715458	0.8305	white	Prostate	1
NDUFA9	89	Hartigans' dip test for unimodality / multimodality	0.0238795011421617	0.9903	white	Prostate	1
NDUFA10	89	Hartigans' dip test for unimodality / multimodality	0.0335074297878467	0.6991	white	Prostate	1
